"","Stationnumber","weekday","hour","Rideoutminusin"
"692","30004","Thu",15,0.666666666666667
"693","30004","Thu",16,0.551724137931034
"694","30004","Thu",17,0.461538461538462
"695","30004","Thu",18,-0.653846153846154
"696","30004","Thu",19,-0.291666666666667
"697","30004","Thu",20,-0.944444444444444
"698","30004","Thu",21,0.19047619047619
"699","30004","Thu",22,0.85
"700","30004","Thu",23,-0.25
"701","30004","Tue",0,0.857142857142857
"702","30004","Tue",1,1
"703","30004","Tue",2,1
"704","30004","Tue",3,0
"705","30004","Tue",5,-0.5
"706","30004","Tue",6,0.333333333333333
"707","30004","Tue",7,-0.608695652173913
"708","30004","Tue",8,0.464285714285714
"709","30004","Tue",9,-0.0384615384615385
"710","30004","Tue",10,0.5
"711","30004","Tue",11,-0.133333333333333
"712","30004","Tue",12,0.818181818181818
"713","30004","Tue",13,0.15
"714","30004","Tue",14,0.0588235294117647
"715","30004","Tue",15,-0.1
"716","30004","Tue",16,0.148148148148148
"717","30004","Tue",17,0.037037037037037
"718","30004","Tue",18,-0.0454545454545455
"719","30004","Tue",19,0.347826086956522
"720","30004","Tue",20,-0.125
"721","30004","Tue",21,0.952380952380952
"722","30004","Tue",22,0.8
"723","30004","Tue",23,0.818181818181818
"724","30004","Wed",0,0.571428571428571
"725","30004","Wed",1,1.5
"726","30004","Wed",2,1
"727","30004","Wed",4,0.5
"728","30004","Wed",5,-1
"729","30004","Wed",6,0.142857142857143
"730","30004","Wed",7,0.222222222222222
"731","30004","Wed",8,0
"732","30004","Wed",9,0.2
"733","30004","Wed",10,-0.4
"734","30004","Wed",11,-0.217391304347826
"735","30004","Wed",12,0.0454545454545455
"736","30004","Wed",13,-0.260869565217391
"737","30004","Wed",14,0.5
"738","30004","Wed",15,-0.318181818181818
"739","30004","Wed",16,0.793103448275862
"740","30004","Wed",17,0.285714285714286
"741","30004","Wed",18,-0.357142857142857
"742","30004","Wed",19,-0.2
"743","30004","Wed",20,0.782608695652174
"744","30004","Wed",21,0.578947368421053
"745","30004","Wed",22,0.533333333333333
"746","30004","Wed",23,0.625
"747","30005","Fri",0,0.166666666666667
"748","30005","Fri",1,1
"749","30005","Fri",2,0
"750","30005","Fri",4,0
"751","30005","Fri",6,0.285714285714286
"752","30005","Fri",7,2.03448275862069
"753","30005","Fri",8,1.80769230769231
"754","30005","Fri",9,-0.739130434782609
"755","30005","Fri",10,-0.125
"756","30005","Fri",11,-0.611111111111111
"757","30005","Fri",12,0.0909090909090909
"758","30005","Fri",13,0.235294117647059
"759","30005","Fri",14,0.35
"760","30005","Fri",15,-1.29166666666667
"761","30005","Fri",16,-1.14814814814815
"762","30005","Fri",17,-1.57142857142857
"763","30005","Fri",18,-0.695652173913043
